№;Дата;Оперативный_№_ПС_РП;Оперативный_№_ВЛ_КЛ;Время_откл;Время_вкл;Длительность_простоя_часы;Длительность_простоя_сек;Причина_откл;Недоотпуск_кВт_ч;Кол_во_потр_физ;Кол_во_потр_юрид;Погода_тип;Температура_C;Скорость_ветра_мс;Осадки;Потребители;Вид_ремонта;Балансовая_принадлежность
1;2025-06-29;3;45;09:30:00;14:36:40;14.628;52660;Повреждение кабеля;57640;2332;98;облачно;25;3.9;нет;ул. Жырау;капитальный;ГорЭлектроСеть
2;2025-02-27;3;9;10:26:00;10:45:49;0.3305;1189;Повреждение изолятора;696;701;104;пасмурно;-5;4.4;нет;Центральный р-н;капитальный;ЖКХ
3;2025-11-26;17;156;10:40:00;22:34:34;22.593;81334;Отключение МТЗ (перегруз);33419;829;42;снег;2;2.5;снег;ТЭЦ-2;капитальный;ЖКХ
4;2025-10-28;7;199;12:25:00;23:57:24;11.5402;41544;Наезд авто на опору;62816;893;223;снегопад;3;4.6;снег;ул. Абая;капитальный;РЭС
5;2025-10-29;7;2;19:42:00;13:04:09;13.0859;47109;Плановый ремонт;99963;1895;390;гроза;5;7.8;дождь;ул. Гагарина;капитальный;ЖКХ
6;2025-02-07;2;1;13:38:00;18:04:05;4.435;15965;Повреждение изолятора;41775;1700;427;пасмурно;-12;2.8;нет;мкр. Орбита;аварийный;Частный
7;2025-07-22;101;2;19:24:00;23:32:28;4.1412;14908;Повреждение изолятора;22224;2148;319;пасмурно;28;2.5;нет;мкр. Восток;текущий;Частный
8;2025-07-31;11;25;21:57:00;22:19:07;0.3687;1327;Повреждение опоры;1395;592;269;дождь;24;5.3;дождь;мкр. Жастар;текущий;ЖКХ
9;2025-11-07;110;67;17:58:00;18:46:31;0.8087;2911;Повреждение опоры;6176;994;408;снег;-3;3.9;снег;ул. Абая;текущий;Частный
10;2025-11-09;17;67;18:30:00;23:24:57;4.916;17697;Повреждение изолятора;39498;962;374;дождь;1;7.7;дождь;ул. Валиханова;плановый;ГорЭлектроСеть
11;2025-03-03;2;132;06:37:00;16:54:27;10.291;37047;Отключение МТЗ;24250;2489;110;облачно;-6;1.8;нет;мкр. Запад;плановый;ГорЭлектроСеть
12;2025-01-10;101;178;10:18:00;21:26:20;11.1391;40100;Наезд авто на опору;49468;15;236;снегопад;-10;10.7;снег;Северный мкр;плановый;РЭС
13;2025-04-22;15;199;04:57:00;10:41:51;5.7476;20691;Падение дерева;45555;1507;379;пасмурно;15;4.4;нет;мкр. Орбита;текущий;ГорЭлектроСеть
14;2025-11-02;102;45;17:10:00;09:15:38;9.2774;33398;Плановый ремонт;51302;1966;306;снег;-7;5.1;снег;мкр. Жастар;плановый;ГорЭлектроСеть
15;2025-02-19;13;156;18:52:00;14:24:06;14.4185;51906;Грозовое перенапряжение;79470;2317;246;пасмурно;-15;2.6;нет;ул. Пушкина;плановый;РЭС
16;2025-07-19;15;156;05:57:00;07:31:22;1.573;5662;Повреждение кабельной линии;5274;388;150;туман;22;0.6;нет;Южный мкр;плановый;ГорЭлектроСеть
17;2025-01-17;152;9;03:05:00;15:26:53;12.365;44513;Повреждение опоры;51858;2177;245;ясно;-22;2.3;нет;мкр. Запад;текущий;ЖКХ
18;2025-12-13;11;8;13:44:00;15:00:26;15.0241;54086;Повреждение кабеля;50642;1796;211;облачно;-14;1.6;нет;ул. Толе би;капитальный;Частный
19;2025-01-21;2;156;10:42:00;21:20:15;21.3544;76875;Повреждение кабельной линии;65865;385;238;пасмурно;-14;5.8;нет;ул. Гагарина;аварийный;РЭС
20;2025-04-06;158;199;16:28:00;17:47:32;17.809;64112;Повреждение кабеля;103519;1658;409;облачно;14;3.2;нет;ул. Лермонтова;текущий;РЭС
21;2025-05-05;105;178;15:48:00;16:57:12;16.9702;61092;Повреждение опоры;120090;2276;345;снег;22;4.3;снег;мкр. Орбита;текущий;Частный
22;2025-09-14;105;156;08:35:00;20:22:10;20.3863;73390;РПВ успешно;125595;225;279;ясно;16;2.0;нет;ул. Пушкина;капитальный;ГорЭлектроСеть
23;2025-03-21;15;32;17:57:00;21:52:37;21.8937;78817;Грозовое перенапряжение;164778;2324;335;гроза;4;8.5;дождь;ул. Жырау;плановый;Частный
24;2025-08-24;13;89;01:31:00;09:21:21;7.8393;28221;Плановый ремонт;36594;97;211;снегопад;26;5.3;снег;ул. Абая;плановый;Частный
25;2025-06-25;9;67;09:14:00;09:36:24;0.3733;1344;Повреждение кабельной линии;2685;839;414;снегопад;26;8.0;снег;ул. Жырау;плановый;Частный
26;2025-10-19;17;15;10:44:00;18:50:28;8.108;29188;Отключение МТЗ;79104;891;431;облачно;7;4.6;нет;промзона;текущий;РЭС
27;2025-07-31;102;156;02:07:00;23:10:01;21.0504;75781;Отключение МТЗ (КЗ);26811;272;48;дождь;31;5.5;дождь;Северный мкр;текущий;ГорЭлектроСеть
28;2025-01-20;11;32;12:55:00;15:21:24;2.4401;8784;Отключение МТЗ (КЗ);3815;527;88;гроза;-8;9.6;дождь;промзона;плановый;ГорЭлектроСеть
29;2025-10-20;2;15;03:43:00;23:06:03;23.1175;83223;Повреждение трансформатора;200442;814;367;гроза;5;10.0;дождь;промзона;текущий;ГорЭлектроСеть
30;2025-06-25;158;132;04:24:00;08:21:04;3.9514;14224;Отключение МТЗ (КЗ);27798;1320;411;облачно;26;2.9;нет;мкр. Запад;плановый;ЖКХ
31;2025-04-02;3;1;02:56:00;22:56:10;22.9529;82630;Повреждение трансформатора;37319;64;93;дождь;12;3.1;дождь;ул. Гагарина;капитальный;ГорЭлектроСеть
32;2025-03-09;158;178;15:21:00;12:07:23;12.1399;43703;Повреждение опоры;29489;102;178;туман;1;0.4;нет;ул. Гагарина;аварийный;ГорЭлектроСеть
33;2025-01-24;17;89;17:32:00;23:29:53;23.5148;84653;Повреждение изолятора;27141;892;42;туман;-18;0.5;нет;Центральный р-н;аварийный;Частный
34;2025-12-15;7;132;16:47:00;18:43:23;18.7397;67463;Повреждение изолятора;23419;1340;25;дождь;-9;3.2;дождь;мкр. Восток;аварийный;РЭС
35;2025-05-12;17;178;20:27:00;06:43:33;6.7426;24273;Повреждение опоры;44683;2241;387;ясно;19;2.1;нет;ул. Жансугурова;капитальный;Частный
36;2025-04-27;102;15;02:10:00;17:42:41;15.5449;55961;Повреждение опоры;95779;1980;401;снег;5;4.7;снег;ул. Жырау;текущий;РЭС
37;2025-12-15;110;156;06:46:00;19:51:57;13.0992;47157;РПВ успешно;53275;773;234;пасмурно;-10;4.7;нет;Южный мкр;плановый;Частный
38;2025-10-21;17;199;03:56:00;08:18:20;4.3725;15740;Обрыв провода;24290;2175;228;снег;8;4.1;снег;ул. Лермонтова;плановый;ГорЭлектроСеть
39;2025-05-18;9;178;11:11:00;15:16:23;15.2899;55043;Наезд авто на опору;42132;631;182;дождь;19;4.6;дождь;Южный мкр;плановый;РЭС
40;2025-09-23;158;89;01:50:00;16:53:59;15.0666;54239;Отключение МТЗ (КЗ);98545;938;319;пасмурно;23;4.1;нет;Северный мкр;текущий;Частный
41;2025-12-11;105;89;00:13:00;01:52:11;1.6531;5951;Плановый ремонт;4865;2083;163;гроза;-11;5.5;дождь;ул. Толе би;текущий;ГорЭлектроСеть
42;2025-10-22;5;67;14:11:00;19:37:12;19.6369;70692;Повреждение опоры;109678;1792;262;снегопад;5;11.0;снег;Северный мкр;аварийный;ГорЭлектроСеть
43;2025-04-27;110;132;21:15:00;03:12:41;3.2282;11621;Повреждение кабеля;5393;1856;52;ясно;9;0.5;нет;Центральный р-н;текущий;ГорЭлектроСеть
44;2025-06-13;15;89;06:51:00;17:24:39;10.5611;38019;Обрыв провода;24956;989;145;снегопад;18;10.4;снег;Северный мкр;аварийный;ГорЭлектроСеть
45;2025-02-09;5;32;00:14:00;14:43:11;14.4865;52151;Грозовое перенапряжение;28373;309;95;дождь;-12;4.3;дождь;промзона;плановый;РЭС
46;2025-06-15;110;25;10:47:00;19:32:07;19.5521;70387;Наезд авто на опору;35474;1638;68;пасмурно;31;5.7;нет;мкр. Жастар;аварийный;Частный
47;2025-10-17;15;45;21:53:00;15:25:58;15.4495;55618;Отключение МТЗ;118085;488;339;пасмурно;2;2.7;нет;мкр. Восток;текущий;РЭС
48;2025-03-18;9;25;23:33:00;14:16:37;14.2938;51457;Наезд авто на опору;39929;1370;103;туман;-3;1.6;нет;Южный мкр;плановый;Частный
49;2025-04-08;7;2;11:51:00;22:38:17;10.7881;38837;Падение дерева;107022;2221;400;снег;3;4.9;снег;Центральный р-н;плановый;ГорЭлектроСеть
50;2025-05-06;110;32;21:44:00;23:45:49;2.0305;7309;Грозовое перенапряжение;10313;1467;284;облачно;14;1.3;нет;мкр. Орбита;капитальный;ЖКХ
51;2025-01-09;2;15;15:56:00;10:34:15;10.5877;38115;Авария на подстанции;44691;1839;289;туман;-17;1.8;нет;ул. Гагарина;капитальный;Частный
52;2025-06-22;105;32;11:50:00;23:28:48;23.4969;84588;Отключение МТЗ;191606;1162;372;снег;20;4.8;снег;Южный мкр;плановый;Частный
53;2025-03-03;110;132;07:09:00;20:31:24;13.3735;48144;Грозовое перенапряжение;121045;2403;382;облачно;-3;2.9;нет;ул. Жырау;капитальный;ГорЭлектроСеть
54;2025-07-31;5;25;01:39:00;09:05:14;7.4373;26774;Наезд авто на опору;3369;292;23;гроза;31;14.7;дождь;ул. Валиханова;капитальный;Частный
55;2025-02-04;9;1;01:56:00;07:28:12;5.5369;19932;Грозовое перенапряжение;11336;2446;13;гроза;-15;11.0;дождь;Южный мкр;текущий;ГорЭлектроСеть
56;2025-12-29;3;32;04:45:00;12:32:15;7.7878;28035;Грозовое перенапряжение;25150;2436;90;гроза;-20;13.2;дождь;ТЭЦ-2;плановый;ЖКХ
57;2025-02-11;15;9;11:03:00;18:09:26;7.1075;25586;Грозовое перенапряжение;35781;1951;228;дождь;-10;6.3;дождь;ул. Абая;текущий;ЖКХ
58;2025-08-02;105;9;11:19:00;21:11:35;21.2099;76355;Повреждение кабеля;21429;763;54;снег;30;2.6;снег;ул. Абая;плановый;ЖКХ
59;2025-05-14;101;89;17:27:00;22:09:38;22.1772;79838;Падение дерева;45638;2404;32;снег;22;3.8;снег;ул. Жырау;капитальный;Частный
60;2025-10-17;13;67;13:52:00;23:19:12;9.4536;34032;Отключение МТЗ (КЗ);28745;2494;116;гроза;2;9.0;дождь;мкр. Восток;текущий;Частный
61;2025-07-22;3;1;10:19:00;18:12:44;7.8957;28424;Повреждение трансформатора;46067;1265;360;гроза;24;10.1;дождь;ул. Жансугурова;плановый;ЖКХ
62;2025-07-11;2;89;00:55:00;11:48:33;10.8927;39213;Обрыв провода;43221;2405;111;туман;25;1.1;нет;промзона;капитальный;Частный
63;2025-06-19;152;199;18:33:00;23:24:59;23.4331;84359;Плановый ремонт;145418;548;386;пасмурно;20;5.3;нет;ТЭЦ-2;капитальный;РЭС
64;2025-05-23;13;32;19:18:00;17:35:06;17.6019;63366;Отключение МТЗ (КЗ);81280;1760;202;ясно;19;1.2;нет;мкр. Жастар;капитальный;Частный
65;2025-02-19;9;67;11:33:00;16:01:33;16.0427;57753;Повреждение изолятора;35158;1660;121;пасмурно;-10;4.4;нет;ул. Пушкина;капитальный;РЭС
66;2025-01-03;2;1;06:21:00;14:56:38;8.5939;30938;Обрыв провода;20451;303;138;снег;-11;3.7;снег;мкр. Орбита;аварийный;РЭС
67;2025-03-14;152;178;09:36:00;22:25:50;12.8307;46190;Повреждение опоры;61832;410;238;снегопад;-6;5.7;снег;мкр. Орбита;аварийный;Частный
68;2025-06-02;15;9;11:32:00;13:44:41;13.7616;49541;Повреждение кабеля;90894;108;327;снегопад;26;6.0;снег;Южный мкр;текущий;Частный
69;2025-06-29;15;25;12:03:00;14:31:37;2.477;8917;Повреждение кабеля;9767;1994;163;пасмурно;31;5.8;нет;промзона;текущий;Частный
70;2025-06-25;102;45;10:03:00;15:03:14;15.0707;54254;Повреждение трансформатора;61897;2327;186;туман;19;0.2;нет;ул. Валиханова;аварийный;РЭС
71;2025-04-04;5;67;12:13:00;20:58:37;8.7604;31537;Грозовое перенапряжение;35520;2458;189;гроза;7;6.5;дождь;ул. Жансугурова;аварийный;Частный
