№;Дата;Оперативный_№_ПС_РП;Оперативный_№_ВЛ_КЛ;Время_откл;Длительность_простоя_часы;Причина_откл;Недоотпуск_кВт_ч;Кол_во_потр_физ;Кол_во_потр_юрид;Погода_тип;Температура_C;Скорость_ветра_мс;Вид_ремонта;Месяц;День_недели;Час;Сезон;Кол_во_откл
1;2025-01-01 00:00:00.000000000;13;15;10:07:00;4.83;МТЗ (перегруз);516;1248;330;облачно;27;9.0;текущий;1;2;10;Зима;1
2;2025-01-01 05:49:40.386924616;102;88;11:29:00;1.78;МТЗ (перегруз);1234;469;313;облачно;18;0.3;текущий;1;2;11;Зима;1
3;2025-01-01 11:39:20.773849232;11;188;15:14:00;3.7;Обрыв провода;4708;1909;54;гроза;31;0.7;текущий;1;2;15;Зима;1
4;2025-01-01 17:29:01.160773849;2;18;03:24:00;7.73;Повреждение опоры;2874;2622;385;облачно;21;10.2;текущий;1;2;3;Зима;1
6;2025-01-02 05:08:21.934623082;101;164;17:39:00;6.07;МТЗ (КЗ);2663;1139;259;ясно;-8;11.6;плановый;1;3;17;Зима;1
10;2025-01-03 04:27:03.482321547;2;190;07:20:00;3.17;МТЗ (КЗ);1126;801;409;гроза;34;8.1;аварийный;1;4;7;Зима;1
12;2025-01-03 16:06:24.256170780;2;9;23:00:00;1.67;МТЗ (перегруз);441;1708;418;дождь;-21;13.9;текущий;1;4;23;Зима;1
15;2025-01-04 09:35:25.416944629;101;48;22:22:00;5.38;Повреждение кабеля;2781;1905;213;снег;-25;5.7;плановый;1;5;22;Зима;1
18;2025-01-05 03:04:26.577718479;15;103;08:14:00;3.48;МТЗ (перегруз);1534;873;230;облачно;6;10.4;аварийный;1;6;8;Зима;1
21;2025-01-05 20:33:27.738492328;13;160;06:58:00;5.59;Плановый ремонт;2779;2614;61;облачно;-20;6.8;аварийный;1;6;6;Зима;1
22;2025-01-06 02:23:08.125416944;15;75;22:27:00;2.91;Плановый ремонт;1356;2690;115;ясно;-23;0.1;текущий;1;0;22;Зима;1
23;2025-01-06 08:12:48.512341561;152;51;09:43:00;2.03;МТЗ (перегруз);3793;1641;471;дождь;23;1.0;аварийный;1;0;9;Зима;1
24;2025-01-06 14:02:28.899266177;2;130;02:48:00;1.27;Авария;748;2170;1;облачно;28;0.5;аварийный;1;0;2;Зима;1
28;2025-01-07 13:21:10.446964643;158;160;22:03:00;0.74;МТЗ (КЗ);4546;776;293;ясно;26;14.8;аварийный;1;1;22;Зима;1
31;2025-01-08 06:50:11.607738492;9;70;15:28:00;6.88;МТЗ (КЗ);1419;1996;146;ясно;-19;2.6;текущий;1;2;15;Зима;1
32;2025-01-08 12:39:51.994663108;102;104;00:10:00;2.79;МТЗ (перегруз);4111;1644;262;облачно;0;14.7;текущий;1;2;0;Зима;1
33;2025-01-08 18:29:32.381587725;101;48;11:04:00;7.21;Повреждение кабеля;2106;1692;303;дождь;-6;13.3;текущий;1;2;11;Зима;1
35;2025-01-09 06:08:53.155436958;3;164;05:39:00;4.89;МТЗ (перегруз);2607;1506;98;гроза;-8;2.4;текущий;1;3;5;Зима;1
38;2025-01-09 23:37:54.316210807;101;68;00:13:00;2.67;Обрыв провода;1268;410;127;облачно;-14;7.6;текущий;1;3;0;Зима;1
39;2025-01-10 05:27:34.703135423;15;38;05:44:00;3.95;Плановый ремонт;275;807;96;облачно;7;2.9;текущий;1;4;5;Зима;1
40;2025-01-10 11:17:15.090060040;105;192;16:16:00;7.96;РПВ успешно;1119;2575;98;дождь;11;13.9;аварийный;1;4;16;Зима;1
44;2025-01-11 10:35:56.637758505;152;160;22:32:00;2.6;МТЗ (перегруз);1866;1768;53;облачно;14;1.1;аварийный;1;5;22;Зима;1
46;2025-01-11 22:15:17.411607738;17;155;09:01:00;2.65;Повреждение опоры;4391;1510;169;дождь;9;3.8;текущий;1;5;9;Зима;1
47;2025-01-12 04:04:57.798532354;2;57;03:44:00;1.63;МТЗ (перегруз);4545;2711;459;снег;-11;5.6;аварийный;1;6;3;Зима;1
49;2025-01-12 15:44:18.572381587;5;186;21:57:00;6.9;МТЗ (КЗ);4827;847;270;ясно;34;4.9;плановый;1;6;21;Зима;1
50;2025-01-12 21:33:58.959306204;11;5;06:03:00;6.75;МТЗ (перегруз);4192;2924;310;ясно;-10;14.6;текущий;1;6;6;Зима;1
51;2025-01-13 03:23:39.346230820;101;120;18:27:00;5.98;МТЗ (КЗ);166;1863;278;облачно;-14;6.1;аварийный;1;0;18;Зима;1
52;2025-01-13 09:13:19.733155436;102;96;21:47:00;1.54;Плановый ремонт;3393;1222;486;облачно;-21;9.2;аварийный;1;0;21;Зима;1
53;2025-01-13 15:03:00.120080053;105;86;13:27:00;0.46;МТЗ (перегруз);3109;462;203;ясно;0;7.4;аварийный;1;0;13;Зима;1
54;2025-01-13 20:52:40.507004669;15;101;22:57:00;4.97;Повреждение кабеля;2899;2819;146;облачно;-25;8.1;текущий;1;0;22;Зима;1
63;2025-01-16 01:19:43.989326217;13;179;10:36:00;5.04;Повреждение опоры;3963;1076;43;ясно;-14;1.5;аварийный;1;3;10;Зима;1
64;2025-01-16 07:09:24.376250833;105;81;07:28:00;6.77;МТЗ (перегруз);467;124;104;облачно;32;10.5;текущий;1;3;7;Зима;1
68;2025-01-17 06:28:05.923949299;7;101;08:23:00;6.47;Авария;4129;1581;465;ясно;6;5.1;плановый;1;4;8;Зима;1
70;2025-01-17 18:07:26.697798532;13;23;02:40:00;3.08;РПВ успешно;645;1913;216;ясно;33;1.5;аварийный;1;4;2;Зима;1
73;2025-01-18 11:36:27.858572381;11;128;19:18:00;3.99;МТЗ (перегруз);3190;405;24;облачно;-5;11.3;текущий;1;5;19;Зима;1
75;2025-01-18 23:15:48.632421614;7;186;06:13:00;4.44;МТЗ (КЗ);782;244;330;ясно;-14;10.3;плановый;1;5;6;Зима;1
78;2025-01-19 16:44:49.793195463;3;170;08:49:00;7.15;МТЗ (перегруз);3286;1455;338;облачно;19;5.6;плановый;1;6;8;Зима;1
82;2025-01-20 16:03:31.340893929;17;19;11:53:00;5.67;МТЗ (перегруз);3652;48;125;облачно;-13;6.1;текущий;1;0;11;Зима;1
88;2025-01-22 03:01:33.662441627;5;191;16:24:00;6.96;МТЗ (перегруз);183;2115;43;гроза;19;0.6;плановый;1;2;16;Зима;1
91;2025-01-22 20:30:34.823215477;105;147;19:56:00;4.23;Повреждение кабеля;3536;1406;53;облачно;-10;11.1;плановый;1;2;19;Зима;1
93;2025-01-23 08:09:55.597064709;158;152;20:07:00;1.44;Повреждение кабеля;3769;2755;315;облачно;2;5.4;аварийный;1;3;20;Зима;1
