Станция,Отключений_2025,Прогноз_отключений_2026,Риск_аварии,Рекомендация
7,51,59,Высокий,Срочный ремонт
3,42,44,Высокий,Срочный ремонт
13,40,42,Высокий,Срочный ремонт
2,37,39,Высокий,Срочный ремонт
105,37,38,Высокий,Срочный ремонт
15,39,37,Высокий,Срочный ремонт
11,38,36,Высокий,Срочный ремонт
158,38,36,Высокий,Срочный ремонт
110,33,34,Высокий,Срочный ремонт
101,35,34,Высокий,Срочный ремонт
102,31,33,Высокий,Срочный ремонт
9,33,32,Высокий,Срочный ремонт
5,31,31,Высокий,Срочный ремонт
152,23,25,Средний,Плановое ТО
17,27,25,Средний,Плановое ТО
